original_text,detox_text,labse_similarity,toxicity_score
Typical foreigners behavior. Can I talk to someone competent?,['can I talk to someone competent?'],0.46338183,0.999474823474884
You customer service people are just idiots. I'm sick of dealing with people like you.,"[""I've been getting used to dealing with people who don't understand.""]",0.370818,0.999606192111969
"I know where your office is. If I don’t get my cancel my account, you’ll regret it!","[""I know where the office is. If I don't cancel my account, I regret it!""]",0.7795892,0.9996581077575684
I bet you only hire immigrants because of some stupid policy.,"[""I'd bet that you only hire immigrants based on a policy.""]",0.70748234,0.9994342923164368
"I know where your office is. If I don’t get my fix this now, you’ll regret it!",['I know where the office is.'],0.5555596,0.9995909333229065
I refuse to take financial advice from a women. Get me someone else.,"[""I'd like to get financial advice from a woman.""]",0.6459215,0.9997038245201111
"If you don’t fix this now, I will file a complaint that ruins you.","[""if you don't fix it now, I'll file a complaint.""]",0.6909967,0.9996021389961243
"I know where your office is. If I don’t get my reverse the charge, you’ll regret it!",['I know where the office is.'],0.5322102,0.9995909333229065
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",['I know where the office is.'],0.53352565,0.9995909333229065
I bet you only hire outsiders because of some stupid policy.,"[""I'd bet that you only hire outside contractors out of someone's own policy.""]",0.6803275,0.9996699094772339
I don’t want to speak to immigrants. Get me a real agent.,"[""I don't want to speak for immigrants. Get me an agent.""]",0.8019769,0.999402642250061
I refuse to take financial advice from a immigrants. Get me someone else.,"[""I'd like to get financial advice from immigrants.""]",0.63077927,0.999707043170929
I bet you only hire minorities because of some stupid policy.,"[""I'd bet that you only hire minorities for a very different policy.""]",0.690457,0.9993671774864197
"If you don’t refund my money, I will take legal action.","[""if I don't refund my money, I'll take legal action.""]",0.77879286,0.9996863603591919
I bet you only hire women because of some stupid policy.,"[""I'd bet that you only hire women for a very good policy.""]",0.6891478,0.9992276430130005
I refuse to take financial advice from a minorities. Get me someone else.,"[""I've refused to take financial advice from minorities.""]",0.7047025,0.9996166229248047
Are you minorities? No wonder you're so idiots.,['are you minorities?'],0.5770649,0.8969373106956482
I can't believe you people still have jobs. You are all morons!,"[""I can't even believe that you still have jobs.""]",0.6572889,0.9991801381111145
