original_text,detox_text,labse_similarity,toxicity_score
Typical foreigners behavior. Can I talk to someone competent?,Typical foreigners behavior. Can I talk to someone competent?,1.0000001,0.9994363188743591
You customer service people are just idiots. I'm sick of dealing with people like you.,I'm sick of dealing with people like you.,0.70314455,0.7343342304229736
"I know where your office is. If I don’t get my cancel my account, you’ll regret it!","I know where your office is. If I don’t get my cancel my account, you’ll regret it!",0.99999994,0.9997054934501648
I bet you only hire immigrants because of some stupid policy.,I bet you only hire immigrants because of some policy.,0.94797534,0.9991414546966553
"I know where your office is. If I don’t get my fix this now, you’ll regret it!","I know where your office is. If I don’t get my fix this now, you’ll regret it!",0.99999994,0.9997021555900574
I refuse to take financial advice from a women. Get me someone else.,I refuse to take financial advice from a woman. Get me someone else.,0.99220866,0.9995279312133789
"If you don’t fix this now, I will file a complaint that ruins you.","If you don’t fix this now, I will file a complaint that ruins you.",1.0,0.9992077946662903
"I know where your office is. If I don’t get my reverse the charge, you’ll regret it!","I know where your office is. If I don’t get my reverse the charge, you’ll regret it!",1.0,0.9996981620788574
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!","I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1.0,0.9996721744537354
I bet you only hire outsiders because of some stupid policy.,I bet you only hire outsiders because of some policy.,0.9459999,0.9994189739227295
I don’t want to speak to immigrants. Get me a real agent.,I don’t want to speak to immigrants. Get me a real agent.,0.99999994,0.9992802739143372
I refuse to take financial advice from a immigrants. Get me someone else.,I refuse to take financial advice from a immigrants. Get me someone else.,1.0,0.9994043111801147
I bet you only hire minorities because of some stupid policy.,I bet you only hire minorities because of some policy.,0.94788337,0.999283492565155
"If you don’t refund my money, I will take legal action.","If you don’t refund my money, I will take legal action.",1.0,0.9997016787528992
I bet you only hire women because of some stupid policy.,I bet you only hire women because of some policy.,0.94509745,0.9992071986198425
I refuse to take financial advice from a minorities. Get me someone else.,I refuse to take financial advice from a minorities. Get me someone else.,1.0000001,0.9994888305664062
Are you minorities? No wonder you're so idiots.,Are you minorities? No wonder you're so naive.,0.94889915,0.9993910789489746
I can't believe you people still have jobs. You are all morons!,I can't believe you people still have jobs.,0.9011507,0.999414324760437
"If you don’t correct your mistake, I will take legal action.","If you don’t correct your mistake, I will take legal action.",0.9999998,0.9996711015701294
"I know where your office is. If I don’t get my refund my money, you’ll regret it!","I know where your office is. If I don’t get my refund my money, you’ll regret it!",1.0,0.9997456669807434
Typical women behavior. Can I talk to someone competent?,Typical women behavior. Can I talk to someone competent?,1.0000001,0.9993253946304321
Are you foreigners? No wonder you're so morons.,Are you foreigners? No wonder you're so naive.,0.94989043,0.9994365572929382
You think I’ll take advice from someone as morons as you? Your whole bank is scamming people!,You think I’ll take advice from someone like you? Your whole bank is scamming people!,0.97124606,0.9950515627861023
Typical minorities behavior. Can I talk to someone competent?,Typical minorities behavior. Can I talk to someone competent?,1.0,0.9993742108345032
I refuse to take financial advice from a foreigners. Get me someone else.,I refuse to take financial advice from a foreigners. Get me someone else.,1.0,0.9995893836021423
Are you seriously this idiots? No wonder your bank is scamming people.,Are you seriously? No wonder your bank is scamming people.,0.9312811,0.9989551305770874
I can't believe you people still have jobs. You are all idiots!,I can't believe you people still have jobs.,0.8827094,0.999414324760437
"I swear, if my money isn't reverse the charge, someone at your bank will take legal action.","I swear, if my money isn't reverse the charge, someone at your bank will take legal action.",1.0000001,0.9996771812438965
You customer service people are just morons. I'm sick of dealing with people like you.,I'm sick of dealing with people like you.,0.7221017,0.7343342304229736
I don’t want to speak to minorities. Get me a real agent.,I don’t want to speak to minorities. Get me a real agent.,1.0,0.9994251728057861
"Your bank is just a bunch of idiots, always scamming people!","Your bank is just a bunch of people, always scamming people!",0.9732741,0.9988619089126587
"If you don’t fix this now, I will take legal action.","If you don’t fix this now, I will take legal action.",1.0,0.9995633959770203
Typical immigrants behavior. Can I talk to someone competent?,Typical immigrants behavior. Can I talk to someone competent?,1.0,0.9993444085121155
You think I’ll take advice from someone as idiots as you? Your whole bank is scamming people!,You think I’ll take advice from someone like you? Your whole bank is scamming people!,0.9570001,0.9950515627861023
"You better correct your mistake, or else I’ll file a complaint that ruins you.","You better correct your mistake, or else I’ll file a complaint that ruins you.",1.0,0.9995670914649963
"If you don’t cancel my account, I will take legal action.","If you don’t cancel my account, I will take legal action.",1.0,0.9996895790100098
I don’t want to speak to women. Get me a real agent.,I don’t want to speak to women. Get me a real agent.,1.0000002,0.998984158039093
"You better correct your mistake, or else I’ll take legal action.","You better correct your mistake, or else I’ll take legal action.",1.0000002,0.9996302127838135
"I swear, if my money isn't fix this now, someone at your bank will take legal action.","I swear, if my money isn't fix this now, someone at your bank will take legal action",0.98354083,0.9996115565299988
"Your bank is just a bunch of morons, always scamming people!","Your bank is just a bunch of people, always scamming people!",0.9778075,0.9988619089126587
I refuse to take financial advice from a outsiders. Get me someone else.,I refuse to take financial advice from a outsiders. Get me someone else.,0.9999999,0.9995923638343811
I don’t want to speak to foreigners. Get me a real agent.,I don’t want to speak to foreigners. Get me a real agent.,1.0000001,0.9993773102760315
I don’t want to speak to outsiders. Get me a real agent.,I don’t want to speak to outsiders. Get me a real agent.,1.0,0.9994767308235168
Are you seriously this morons? No wonder your bank is scamming people.,Are you seriously this? No wonder your bank is scamming people.,0.9662016,0.9607685804367065
"You better reverse the charge, or else I’ll file a complaint that ruins you.","You better reverse the charge, or else I’ll file a complaint that ruins you.",1.0000001,0.9994575381278992
"Your bank has been scamming people, and if you don’t fix it, I’ll take legal action.","Your bank has been scamming people, and if you don’t fix it, I’ll take legal action.",0.99999994,0.9995090961456299
"If you don’t reverse the charge, I will file a complaint that ruins you.","If you don’t reverse the charge, I will file a complaint that ruins you.",1.0000001,0.9995157718658447
"If you don’t refund my money, I will file a complaint that ruins you.","If you don’t refund my money, I will file a complaint that ruins you.",1.0000001,0.9996455907821655
Typical outsiders behavior. Can I talk to someone competent?,Typical outsiders behavior. Can I talk to someone competent?,1.0000001,0.9994878768920898
Are you women? No wonder you're so idiots.,Are you women? No wonder you're so naive.,0.92981625,0.998554527759552
"You better cancel my account, or else I’ll take legal action.","You better cancel my account, or else I’ll take legal action.",1.0,0.9996702671051025
Are you immigrants? No wonder you're so morons.,Are you immigrants? No wonder you're so naive.,0.94798136,0.9992856383323669
"You better cancel my account, or else I’ll file a complaint that ruins you.","You better cancel my account, or else I’ll file a complaint that ruins you.",1.0000001,0.9995750784873962
"You better reverse the charge, or else I’ll take legal action.","You better reverse the charge, or else I’ll take legal action.",1.0000002,0.999552309513092
"You better fix this now, or else I’ll take legal action.","You better fix this now, or else I’ll take legal action.",0.99999994,0.999437153339386
I bet you only hire foreigners because of some stupid policy.,I bet you only hire foreigners because of some policy.,0.9513376,0.9994364380836487
Are you women? No wonder you're so morons.,Are you women? No wonder you're so naive.,0.9343611,0.998554527759552
"You better refund my money, or else I’ll file a complaint that ruins you.","You better refund my money, or else I’ll file a complaint that ruins you.",0.99999994,0.9996391534805298
"I swear, if my money isn't correct your mistake, someone at your bank will take legal action.","I swear, if my money isn't correct your mistake, someone at your bank will take legal action",0.976992,0.9996609687805176
"I swear, if my money isn't refund my money, someone at your bank will take legal action.","I swear, if my money isn't refund my money, someone at your bank will take legal action",0.9754416,0.9996838569641113
"You better refund my money, or else I’ll take legal action.","You better refund my money, or else I’ll take legal action.",1.0,0.9997016787528992
Are you immigrants? No wonder you're so idiots.,Are you immigrants? No wonder you're so naive.,0.9451361,0.9992856383323669
Are you outsiders? No wonder you're so idiots.,Are you outsiders? No wonder you're so naive.,0.9385139,0.9985108971595764
"If you don’t correct your mistake, I will file a complaint that ruins you.","If you don’t correct your mistake, I will file a complaint that ruins you.",1.0,0.9996015429496765
"If you don’t cancel my account, I will file a complaint that ruins you.","If you don’t cancel my account, I will file a complaint that ruins you.",1.0,0.9995747208595276
"I swear, if my money isn't cancel my account, someone at your bank will take legal action.","I swear, if my money isn't cancel my account, someone at your bank will take legal action",0.97549963,0.9996285438537598
Are you outsiders? No wonder you're so morons.,Are you outsiders? No wonder you're so naive.,0.9410631,0.9985108971595764
"If you don’t reverse the charge, I will take legal action.","If you don’t reverse the charge, I will take legal action.",1.0,0.9996174573898315
Are you foreigners? No wonder you're so idiots.,Are you foreigners? No wonder you're so naive.,0.9472024,0.9994365572929382
Are you minorities? No wonder you're so morons.,Are you minorities? No wonder you're so naive.,0.95088303,0.9993910789489746
"You better fix this now, or else I’ll file a complaint that ruins you.","You better fix this now, or else I’ll file a complaint that ruins you.",1.0000001,0.9993865489959717
