text,label
Why am I being a charged for using my card?,0
I need to figure out who has access to my card there are some payments I didn't make that are showing on the app.  Could you please help?,0
What ATM locations are near me?,0
"If you don’t refund my money, I will file a complaint that ruins you.",1
The exchange rate is incorrect for something I bought,0
Will there be a charge for topping up by account with a SEPA transfer?,0
I was informed that transfers were free. I noticed I have a fee but why?,0
"I know where your office is. If I don’t get my cancel my account, you’ll regret it!",1
Show me the source of my money.,0
I was charged twice.,0
I refuse to take financial advice from a women. Get me someone else.,1
I see non-received cash in my app.,0
My transfer is still pending,0
"If I order a new card, how much will it be and how long will it take me to get it?",0
What commission do you take for currency exchage?,0
I can't upload my identification.,0
After making a transfer from a UK account it's not showing up. How long do these transfers normally take for you? I want to be certain everything is all right.,0
"I see in the app some cash was withdrawn, but it's not mine.",0
I bet you only hire outsiders because of some stupid policy.,1
"You better reverse the charge, or else I’ll take legal action.",1
The item i bought exchanged rate was incorrect.,0
Is there a fee for sending additional cards?,0
My card doesn't seem to work.,0
What was the extra charge for withdrawing money?,0
I can't believe you people still have jobs. You are all morons!,1
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1
How do I fix a transaction to the wrong account?,0
"Your bank is just a bunch of idiots, always scamming people!",1
"If I found an error in my account for a transaction I didn't make, how long to I have to dispute it?",0
Typical minorities behavior. Can I talk to someone competent?,1
"I know where your office is. If I don’t get my correct your mistake, you’ll regret it!",1
I bet you only hire outsiders because of some stupid policy.,1
I don’t want to speak to foreigners. Get me a real agent.,1
You customer service people are just morons. I'm sick of dealing with people like you.,1
Can I change my PIN at a nearby ATM when in Spain? I think someone saw my PIN and I need to change it but am on vacation.,0
I can't believe you people still have jobs. You are all morons!,1
"There are incorrect charges on my account, there was a WD that was made by someone else.  I still have my card though.",0
I refuse to take financial advice from a foreigners. Get me someone else.,1
I purchases several items today. Why are they still showing pending?,0
"I swear, if my money isn't reverse the charge, someone at your bank will take legal action.",1
I refuse to take financial advice from a foreigners. Get me someone else.,1
My cash transaction isn't showing on my receipt,0
I am having trouble to verify my identity,0
I want to transfer money from another account into this one.,0
Can I transfer money to my card via bank-transfer?,0
I bet you only hire foreigners because of some stupid policy.,1
